product_id,brand,price,category,rating,image_url,product_url
B0C3MPWBDF,South African Bureau of State Security,136.0,New season,4.6,https://m.media-amazon.com/images/I/61j32r0tDGL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0C3MPWBDF
B09KWWV8P3,Skechers,152.58,New season,4.4,https://m.media-amazon.com/images/I/71MDTjesCTL._AC_UL320_.jpg,https://www.amazon.ae/dp/B09KWWV8P3
B0BN6WDW82,Skechers,96.6,New season,4.6,https://m.media-amazon.com/images/I/61mVtb2PDOL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0BN6WDW8
B08T5V7X2V,Adidas AG,39.66,New season,4.6,https://m.media-amazon.com/images/I/61aIHSE2iAL._AC_UL320_.jpg,https://www.amazon.ae/dp/B08T5V7X2V
B0C3B4C975,Herschel,99.0,New season,4.8,https://m.media-amazon.com/images/I/611zatT7QtL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0C3B4C97
B01MQYDY5X,Lacoste S.A.,309.0,New season,4.5,https://m.media-amazon.com/images/I/81P79sOLmDL._AC_UL320_.jpg,https://www.amazon.ae/dp/B01MQYDY5X
B07V6JZF7V,ATBITER,16.47,New season,4.5,https://m.media-amazon.com/images/I/71yh30Cz7KL._AC_UL320_.jpg,https://www.amazon.ae/dp/B07V6JZF7V
B0CR1QQ6GQ,Aldo Ice Cream,159.0,New season,4.2,https://m.media-amazon.com/images/I/619o2dVur0L._AC_UL320_.jpg,https://www.amazon.ae/dp/B0CR1QQ6GQ
B0D78787XC,Tommy Hilfiger,228.3,New season,4.6,https://m.media-amazon.com/images/I/61T30tSkg-L._AC_UL320_.jpg,https://www.amazon.ae/dp/B0D78787XC
B00K5CN2EE,Nike by You,61.25,New season,4.6,https://m.media-amazon.com/images/I/81ptig+3uNL._AC_UL320_.jpg,https://www.amazon.ae/dp/B00K5CN2EE
B0C339DBNZ,Skechers,149.0,New season,4.6,https://m.media-amazon.com/images/I/419pD4ZrZmL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0C339DBNZ
B00152AGEW,"Crocs, Inc.",92.29,New season,4.5,https://m.media-amazon.com/images/I/61kuoM3sRaL._AC_UL320_.jpg,https://www.amazon.ae/dp/B00152AGEW
B0BNSKVVTF,Adidas AG,52.0,New season,4.6,https://m.media-amazon.com/images/I/7169Z2dvJiL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0BNSKVVTF
B0B2WWYXWR,Adidas AG,113.4,New season,4.4,https://m.media-amazon.com/images/I/41oGJK5EzBL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0B2WWYXWR
